scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
22599,0,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'High Carb'), ('hasDietType', 'Vegetarian'), ('hasCuisineRegion', 'Latin America'), ('usesCookingMethod', 'oven')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464
22600,1,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'High Carb'), ('HasCalorieLevel', 'Medium Calorie'), ('hasDietType', 'Vegan'), ('hasCuisineRegion', 'Oceania')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.00011160714285714285
22601,2,"[('HasCalorieLevel', 'High Calorie'), ('isForMealType', 'starter'), ('hasDietType', 'Standard'), ('hasCuisineRegion', 'South Asia'), ('usesCookingMethod', 'microwave')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857
22602,3,"[('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'snack'), ('hasDietType', 'Vegan'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",2,88519,1.0,1.0,1.0,1.0,0.2,0.1,1.0
22603,4,"[('HasProteinLevel', 'High Protein'), ('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'snack'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'barbecue')]",1,88519,0.0,1.0,1.0,0.0,0.2,0.1,0.5
22604,5,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'High Carb'), ('HasFatLevel', 'Medium Fat'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'pot')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877
22605,6,"[('HasCarbLevel', 'High Carb'), ('HasFatLevel', 'Low Fat'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Latin America'), ('usesCookingMethod', 'pot')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035
22606,7,"[('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'lunch'), ('hasDietType', 'Vegetarian'), ('hasCuisineRegion', 'Eastern Europe & Eurasia'), ('usesCookingMethod', 'no cook')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0034965034965034965
22607,8,"[('HasProteinLevel', 'Medium Protein'), ('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Oceania'), ('usesCookingMethod', 'pot')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808
22608,9,"[('HasFatLevel', 'Low Fat'), ('isForMealType', 'lunch'), ('hasDietType', 'Vegan'), ('hasCuisineRegion', 'Southeast Asia'), ('usesCookingMethod', 'no cook')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.002028397565922921
