scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,mrr
837,0,"[('HasFatLevel', 'Low Fat'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Mediterranean Europe')]",1,90656,1.0,1.0,1.0,1.0
838,1,"[('HasProteinLevel', 'Low Protein'), ('hasCuisineRegion', 'East Asia'), ('usesCookingMethod', 'air fryer')]",2,90656,1.0,1.0,1.0,1.0
839,2,"[('isForMealType', 'snack'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'South Asia')]",3,90656,0.0,1.0,1.0,0.3333333333333333
840,3,"[('HasProteinLevel', 'High Protein'), ('hasCuisineRegion', 'East Asia'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0015408320493066256
841,4,"[('isForMealType', 'starter'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
842,5,"[('HasProteinLevel', 'Medium Protein'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
843,6,"[('HasCalorieLevel', 'Medium Calorie'), ('isForMealType', 'drink'), ('usesCookingMethod', 'barbecue')]",2,90656,0.0,0.0,0.0,0.004901960784313725
844,7,"[('isForMealType', 'dessert'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'no cook')]",1,90656,0.0,0.0,0.0,0.06666666666666667
845,8,"[('isForMealType', 'breakfast'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Oceania')]",1,90656,1.0,1.0,1.0,1.0
846,9,"[('isForMealType', 'dessert'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'pot')]",1,90656,0.0,0.0,0.0,0.0026666666666666666
847,10,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'Low Fat'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0009041591320072332
848,11,"[('HasCarbLevel', 'High Carb'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Latin America')]",3,90656,1.0,1.0,1.0,1.0
849,12,"[('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'no cook')]",1,90656,0.0,1.0,1.0,0.3333333333333333
850,13,"[('HasProteinLevel', 'Low Protein'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'microwave')]",1,90656,0.0,0.0,0.0,0.041666666666666664
851,14,"[('HasCalorieLevel', 'Medium Calorie'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Sub-Saharan Africa')]",2,90656,0.0,0.0,1.0,0.1111111111111111
852,15,"[('HasFatLevel', 'Low Fat'), ('HasCalorieLevel', 'Medium Calorie'), ('usesCookingMethod', 'air fryer')]",2,90656,0.0,0.0,0.0,0.003067484662576687
853,16,"[('isForMealType', 'drink'), ('hasCuisineRegion', 'Mediterranean Europe'), ('usesCookingMethod', 'pan')]",1,90656,1.0,1.0,1.0,1.0
854,17,"[('HasCarbLevel', 'High Carb'), ('HasCalorieLevel', 'Medium Calorie'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,1.0,1.0,0.3333333333333333
855,18,"[('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'no cook')]",1,90656,0.0,1.0,1.0,0.5
856,19,"[('HasProteinLevel', 'Low Protein'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Latin America')]",1,90656,0.0,1.0,1.0,0.5
857,20,"[('isForMealType', 'breakfast'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'microwave')]",3,90656,1.0,1.0,1.0,1.0
858,21,"[('HasCarbLevel', 'High Carb'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'oven')]",3,90656,0.0,0.0,0.0,0.03225806451612903
859,22,"[('HasCalorieLevel', 'High Calorie'), ('isForMealType', 'lunch'), ('usesCookingMethod', 'air fryer')]",1,90656,1.0,1.0,1.0,1.0
860,23,"[('HasCarbLevel', 'Medium Carb'), ('hasCuisineRegion', 'Global'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
861,24,"[('isForMealType', 'dessert'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'barbecue')]",1,90656,0.0,0.0,0.0,0.0013869625520110957
862,25,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'Medium Carb'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.00020080321285140563
863,26,"[('HasCarbLevel', 'High Carb'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'microwave')]",3,90656,1.0,1.0,1.0,1.0
864,27,"[('isForMealType', 'starter'), ('hasDietType', 'Vegetarian'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
865,28,"[('HasProteinLevel', 'Low Protein'), ('HasCalorieLevel', 'High Calorie'), ('isForMealType', 'breakfast')]",1,90656,0.0,0.0,0.0,0.038461538461538464
866,29,"[('HasCalorieLevel', 'Medium Calorie'), ('hasDietType', 'Vegetarian'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
867,30,"[('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'microwave')]",1,90656,0.0,0.0,0.0,0.01098901098901099
868,31,"[('HasCarbLevel', 'High Carb'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",2,90656,0.0,0.0,0.0,0.005235602094240838
869,32,"[('HasFatLevel', 'Low Fat'), ('hasCuisineRegion', 'Global'), ('usesCookingMethod', 'air fryer')]",3,90656,0.0,1.0,1.0,0.5
870,33,"[('isForMealType', 'drink'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'pot')]",1,90656,0.0,0.0,0.0,0.019230769230769232
871,34,"[('isForMealType', 'snack'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'barbecue')]",3,90656,0.0,0.0,1.0,0.1111111111111111
872,35,"[('hasDietType', 'Paleo'), ('hasCuisineRegion', 'South Asia'), ('usesCookingMethod', 'microwave')]",1,90656,1.0,1.0,1.0,1.0
873,36,"[('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Oceania'), ('usesCookingMethod', 'barbecue')]",2,90656,1.0,1.0,1.0,1.0
874,37,"[('HasProteinLevel', 'High Protein'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
875,38,"[('HasFatLevel', 'Medium Fat'), ('HasCalorieLevel', 'High Calorie'), ('usesCookingMethod', 'air fryer')]",1,90656,1.0,1.0,1.0,1.0
876,39,"[('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'dessert'), ('hasDietType', 'Paleo')]",2,90656,0.0,0.0,1.0,0.14285714285714285
877,40,"[('HasCalorieLevel', 'Medium Calorie'), ('hasCuisineRegion', 'Southeast Asia'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.00211864406779661
878,41,"[('isForMealType', 'drink'), ('hasCuisineRegion', 'Latin America'), ('usesCookingMethod', 'barbecue')]",1,90656,0.0,0.0,0.0,0.006666666666666667
879,42,"[('HasCarbLevel', 'Medium Carb'), ('isForMealType', 'starter'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0012515644555694619
880,43,"[('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'barbecue')]",3,90656,0.0,1.0,1.0,0.3333333333333333
881,44,"[('HasCarbLevel', 'Medium Carb'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'no cook')]",1,90656,0.0,0.0,0.0,0.015384615384615385
882,45,"[('HasProteinLevel', 'Medium Protein'), ('hasCuisineRegion', 'Northern/Western Europe'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0007892659826361484
883,46,"[('isForMealType', 'drink'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'pan')]",1,90656,0.0,0.0,0.0,0.03225806451612903
884,47,"[('isForMealType', 'drink'), ('hasDietType', 'Vegan'), ('usesCookingMethod', 'barbecue')]",1,90656,0.0,0.0,0.0,0.0006035003017501509
885,48,"[('hasDietType', 'Standard'), ('hasCuisineRegion', 'Global'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
886,49,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'East Asia')]",1,90656,1.0,1.0,1.0,1.0
887,50,"[('HasFatLevel', 'Medium Fat'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'East Asia')]",3,90656,1.0,1.0,1.0,1.0
888,51,"[('hasDietType', 'Vegan'), ('hasCuisineRegion', 'Eastern Europe & Eurasia'), ('usesCookingMethod', 'microwave')]",1,90656,0.0,0.0,0.0,0.001579778830963665
889,52,"[('isForMealType', 'drink'), ('hasCuisineRegion', 'Eastern Europe & Eurasia'), ('usesCookingMethod', 'oven')]",1,90656,0.0,0.0,0.0,0.024390243902439025
890,53,"[('HasProteinLevel', 'High Protein'), ('HasFatLevel', 'Low Fat'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.012658227848101266
891,54,"[('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'oven')]",3,90656,0.0,1.0,1.0,0.5
892,55,"[('HasCalorieLevel', 'High Calorie'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",3,90656,1.0,1.0,1.0,1.0
893,56,"[('HasCarbLevel', 'Low Carb'), ('isForMealType', 'drink'), ('hasDietType', 'Paleo')]",1,90656,0.0,0.0,0.0,0.011111111111111112
894,57,"[('isForMealType', 'snack'), ('hasCuisineRegion', 'Eastern Europe & Eurasia'), ('usesCookingMethod', 'microwave')]",2,90656,1.0,1.0,1.0,1.0
895,58,"[('isForMealType', 'breakfast'), ('hasDietType', 'Vegan'), ('usesCookingMethod', 'barbecue')]",2,90656,0.0,0.0,0.0,0.07692307692307693
896,59,"[('HasCarbLevel', 'High Carb'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'oven')]",2,90656,0.0,1.0,1.0,0.5
897,60,"[('HasFatLevel', 'Low Fat'), ('hasCuisineRegion', 'Eastern Europe & Eurasia'), ('usesCookingMethod', 'microwave')]",2,90656,0.0,1.0,1.0,0.5
898,61,"[('HasCalorieLevel', 'High Calorie'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'microwave')]",2,90656,1.0,1.0,1.0,1.0
899,62,"[('HasProteinLevel', 'Low Protein'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'microwave')]",2,90656,1.0,1.0,1.0,1.0
900,63,"[('hasDietType', 'Standard'), ('hasCuisineRegion', 'Latin America'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0012706480304955528
901,64,"[('HasProteinLevel', 'Medium Protein'), ('hasDietType', 'Vegan'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0024154589371980675
902,65,"[('isForMealType', 'drink'), ('hasCuisineRegion', 'Northern/Western Europe'), ('usesCookingMethod', 'pan')]",3,90656,1.0,1.0,1.0,1.0
903,66,"[('isForMealType', 'dessert'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'microwave')]",1,90656,0.0,0.0,0.0,0.01639344262295082
904,67,"[('isForMealType', 'drink'), ('hasDietType', 'Standard'), ('hasCuisineRegion', 'Oceania')]",3,90656,0.0,1.0,1.0,0.2
905,68,"[('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Caribbean')]",2,90656,1.0,1.0,1.0,1.0
906,69,"[('HasCarbLevel', 'High Carb'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Oceania')]",1,90656,0.0,0.0,0.0,0.023255813953488372
907,70,"[('HasProteinLevel', 'Medium Protein'), ('hasCuisineRegion', 'Global'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.008333333333333333
908,71,"[('HasCarbLevel', 'Medium Carb'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Middle East & Anatolia')]",2,90656,1.0,1.0,1.0,1.0
909,72,"[('isForMealType', 'breakfast'), ('hasDietType', 'Vegetarian'), ('hasCuisineRegion', 'Caribbean')]",1,90656,0.0,0.0,1.0,0.1111111111111111
910,73,"[('HasFatLevel', 'Medium Fat'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Sub-Saharan Africa')]",2,90656,1.0,1.0,1.0,1.0
911,74,"[('HasProteinLevel', 'Low Protein'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'air fryer')]",1,90656,1.0,1.0,1.0,1.0
912,75,"[('HasFatLevel', 'Low Fat'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'barbecue')]",2,90656,1.0,1.0,1.0,1.0
913,76,"[('HasProteinLevel', 'Medium Protein'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Oceania')]",2,90656,1.0,1.0,1.0,1.0
914,77,"[('HasFatLevel', 'Low Fat'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Eastern Europe & Eurasia')]",1,90656,0.0,1.0,1.0,0.5
915,78,"[('HasFatLevel', 'High Fat'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Caribbean')]",1,90656,0.0,1.0,1.0,0.25
916,79,"[('HasProteinLevel', 'Medium Protein'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'no cook')]",1,90656,0.0,0.0,0.0,0.047619047619047616
917,80,"[('HasFatLevel', 'Medium Fat'), ('HasCalorieLevel', 'High Calorie'), ('hasCuisineRegion', 'Sub-Saharan Africa')]",3,90656,1.0,1.0,1.0,1.0
918,81,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Eastern Europe & Eurasia')]",1,90656,1.0,1.0,1.0,1.0
919,82,"[('HasProteinLevel', 'High Protein'), ('hasCuisineRegion', 'Mediterranean Europe'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0012658227848101266
920,83,"[('HasCarbLevel', 'High Carb'), ('hasCuisineRegion', 'South Asia'), ('usesCookingMethod', 'no cook')]",3,90656,1.0,1.0,1.0,1.0
921,84,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'High Carb'), ('hasDietType', 'Paleo')]",2,90656,0.0,0.0,0.0,0.034482758620689655
922,85,"[('HasProteinLevel', 'Low Protein'), ('HasCalorieLevel', 'High Calorie'), ('hasCuisineRegion', 'Latin America')]",2,90656,1.0,1.0,1.0,1.0
923,86,"[('isForMealType', 'starter'), ('hasCuisineRegion', 'Southeast Asia'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.003436426116838488
924,87,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'drink'), ('hasDietType', 'Paleo')]",1,90656,0.0,0.0,1.0,0.14285714285714285
