scenario_global_id,scenario_index_in_size,combo_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,mrr
ground_truth_size_2,0,2,"[('containsIngredient', 'MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP'), ('containsIngredient', ""POTATOES,O'BRIEN,HOME-PREPARED"")]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,1,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,2,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,3,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Soy sauce salt')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,4,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,5,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'ONIONS,RAW')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,6,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Catsup')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,7,2,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'Sweet pepper green raw')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,8,2,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,9,2,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,10,2,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,11,2,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'BREAD,WHEAT GERM')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,12,2,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'CORNSTARCH')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,13,2,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'Flour rice')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,14,2,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'Salt sea')]",2,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,15,2,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT'), ('containsIngredient', 'Sweet pepper green raw')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,16,2,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT'), ('containsIngredient', 'Salt sea')]",1,90656,0.0,1.0,1.0,0.25
ground_truth_size_2,17,2,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT'), ('containsIngredient', 'ONIONS,RAW')]",2,90656,0.0,1.0,1.0,0.3333333333333333
ground_truth_size_2,18,2,"[('containsIngredient', 'SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,LT'), ('containsIngredient', 'CHEESE,BLUE')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,19,2,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA'), ('containsIngredient', 'CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,20,2,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA'), ('containsIngredient', 'ONIONS,RAW')]",1,90656,0.0,1.0,1.0,0.5
ground_truth_size_2,21,2,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA'), ('containsIngredient', 'Celery, stem')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,22,2,"[('containsIngredient', 'SPINACH SOUFFLE'), ('containsIngredient', 'BREAD,WHEAT GERM')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_2,23,2,"[('containsIngredient', 'SPINACH SOUFFLE'), ('containsIngredient', 'Salt sea')]",1,90656,1.0,1.0,1.0,1.0
