scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,mrr
44,0,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'Low Carb')]",24385,90656,1.0,1.0,1.0,1.0
45,1,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'Medium Carb')]",8077,90656,1.0,1.0,1.0,1.0
46,2,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'High Carb')]",1182,90656,1.0,1.0,1.0,1.0
47,3,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'Low Carb')]",7614,90656,1.0,1.0,1.0,1.0
48,4,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'Medium Carb')]",6068,90656,1.0,1.0,1.0,1.0
49,5,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'High Carb')]",1907,90656,1.0,1.0,1.0,1.0
50,6,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'Low Carb')]",23183,90656,1.0,1.0,1.0,1.0
51,7,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'Medium Carb')]",10963,90656,1.0,1.0,1.0,1.0
52,8,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'High Carb')]",5140,90656,1.0,1.0,1.0,1.0
53,9,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'Low Fat')]",13275,90656,1.0,1.0,1.0,1.0
54,10,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'Medium Fat')]",17020,90656,1.0,1.0,1.0,1.0
55,11,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'High Fat')]",3349,90656,1.0,1.0,1.0,1.0
56,12,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'Low Fat')]",2564,90656,1.0,1.0,1.0,1.0
57,13,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'Medium Fat')]",8368,90656,1.0,1.0,1.0,1.0
58,14,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'High Fat')]",4657,90656,1.0,1.0,1.0,1.0
59,15,"[('HasProteinLevel', 'High Protein'), ('HasFatLevel', 'Low Fat')]",2282,90656,1.0,1.0,1.0,1.0
60,16,"[('HasProteinLevel', 'High Protein'), ('HasFatLevel', 'Medium Fat')]",15994,90656,1.0,1.0,1.0,1.0
61,17,"[('HasProteinLevel', 'High Protein'), ('HasFatLevel', 'High Fat')]",21010,90656,1.0,1.0,1.0,1.0
62,18,"[('HasProteinLevel', 'Low Protein'), ('HasCalorieLevel', 'Low Calorie')]",24811,90656,1.0,1.0,1.0,1.0
63,19,"[('HasProteinLevel', 'Low Protein'), ('HasCalorieLevel', 'Medium Calorie')]",8553,90656,1.0,1.0,1.0,1.0
64,20,"[('HasProteinLevel', 'Low Protein'), ('HasCalorieLevel', 'High Calorie')]",280,90656,1.0,1.0,1.0,1.0
65,21,"[('HasProteinLevel', 'Medium Protein'), ('HasCalorieLevel', 'Low Calorie')]",5912,90656,1.0,1.0,1.0,1.0
66,22,"[('HasProteinLevel', 'Medium Protein'), ('HasCalorieLevel', 'Medium Calorie')]",8782,90656,1.0,1.0,1.0,1.0
67,23,"[('HasProteinLevel', 'Medium Protein'), ('HasCalorieLevel', 'High Calorie')]",895,90656,1.0,1.0,1.0,1.0
68,24,"[('HasProteinLevel', 'High Protein'), ('HasCalorieLevel', 'Low Calorie')]",4903,90656,1.0,1.0,1.0,1.0
69,25,"[('HasProteinLevel', 'High Protein'), ('HasCalorieLevel', 'Medium Calorie')]",25879,90656,1.0,1.0,1.0,1.0
70,26,"[('HasProteinLevel', 'High Protein'), ('HasCalorieLevel', 'High Calorie')]",8504,90656,1.0,1.0,1.0,1.0
71,27,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'breakfast')]",2658,90656,1.0,1.0,1.0,1.0
72,28,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'lunch')]",5062,90656,1.0,1.0,1.0,1.0
73,29,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'dinner')]",5864,90656,1.0,1.0,1.0,1.0
74,30,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'snack')]",3651,90656,1.0,1.0,1.0,1.0
75,31,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'dessert')]",12181,90656,1.0,1.0,1.0,1.0
76,32,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'starter')]",5963,90656,1.0,1.0,1.0,1.0
77,33,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'brunch')]",3248,90656,1.0,1.0,1.0,1.0
78,34,"[('HasProteinLevel', 'Low Protein'), ('isForMealType', 'drink')]",1490,90656,1.0,1.0,1.0,1.0
79,35,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'breakfast')]",1453,90656,1.0,1.0,1.0,1.0
80,36,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'lunch')]",4153,90656,1.0,1.0,1.0,1.0
81,37,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'dinner')]",5046,90656,1.0,1.0,1.0,1.0
82,38,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'snack')]",1599,90656,1.0,1.0,1.0,1.0
83,39,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'dessert')]",3136,90656,1.0,1.0,1.0,1.0
84,40,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'starter')]",2570,90656,1.0,1.0,1.0,1.0
85,41,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'brunch')]",1784,90656,1.0,1.0,1.0,1.0
86,42,"[('HasProteinLevel', 'Medium Protein'), ('isForMealType', 'drink')]",290,90656,1.0,1.0,1.0,1.0
