scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
ground_truth_size_1,0,"[('containsIngredient', 'MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.5
ground_truth_size_1,1,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV')]",2,0.0,0.0,0.0,0.0,0.0,0.0,3.0180479266010744e-05
ground_truth_size_1,2,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00011005943209333039
ground_truth_size_1,3,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND')]",2,0.0,0.0,0.0,0.0,0.0,0.0,2.3488514116596984e-05
ground_truth_size_1,4,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT')]",2,0.0,0.0,0.0,0.0,0.0,0.0,1.88800362496696e-05
ground_truth_size_1,5,"[('containsIngredient', 'SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,LT')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.3156336749595442e-05
ground_truth_size_1,6,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA')]",2,0.0,1.0,1.0,0.0,0.2,0.1,0.2
ground_truth_size_1,7,"[('containsIngredient', 'SPINACH SOUFFLE')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.000846740050804403
ground_truth_size_1,8,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY')]",2,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
ground_truth_size_1,9,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00021626297577854672
ground_truth_size_1,10,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0017211703958691911
ground_truth_size_1,11,"[('containsIngredient', 'PIE CRUST,STANDARD-TYPE,DRY MIX')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0007246376811594203
ground_truth_size_1,12,"[('containsIngredient', 'TURKEY  WHITE  ROTISSERIE  DELI CUT')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
ground_truth_size_1,13,"[('containsIngredient', 'SIDE DISHES,POTATO SALAD')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678
ground_truth_size_1,14,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.5
ground_truth_size_1,15,"[('containsIngredient', 'FLAN,CARAMEL CUSTARD,DRY MIX')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.6750138188640056e-05
ground_truth_size_1,16,"[('containsIngredient', 'SEAWEED,WAKAME,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,8.240626287597858e-05
ground_truth_size_1,17,"[('containsIngredient', 'SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125
ground_truth_size_1,18,"[('containsIngredient', ""CAMPBELL'S HOMESTYLE MEXICAN STYLE CHICK TORTILLA SOUP"")]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,19,"[('containsIngredient', ""CAMPBELL'S HOMESTYLE NEW ENGLAND CLAM CHOWDER"")]",2,1.0,1.0,1.0,1.0,0.4,0.2,1.0
ground_truth_size_1,20,"[('containsIngredient', 'MILK,BTTRMLK,FLUID,WHL')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00044583147570218456
ground_truth_size_1,21,"[('containsIngredient', 'CEREALS RTE,QUAKER,LOFAT 100% NAT GRANOLA W/ RAISINS')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.012195121951219513
ground_truth_size_1,22,"[('containsIngredient', 'W/ CONDMNT')]",1,0.0,0.0,0.0,0.0,0.0,0.0,4.9441313161277566e-05
ground_truth_size_1,23,"[('containsIngredient', 'RESTAURANT,MEXICAN,CHS ENCHILADA')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.8796285853915267e-05
ground_truth_size_1,24,"[('containsIngredient', 'OIL,NUTMEG BUTTER')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0012453300124533001
ground_truth_size_1,25,"[('containsIngredient', 'MARGARINE-LIKE,VEG OIL SPRD,FAT-FREE,TUB')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876
ground_truth_size_1,26,"[('containsIngredient', 'KASHI PIZZA,TIKKA MASALA,SINGLE SERVE')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.802570537683474e-05
ground_truth_size_1,27,"[('containsIngredient', 'DUCK,WILD,MEAT&SKN,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00025647601949217746
ground_truth_size_1,28,"[('containsIngredient', 'CREAM SUBSTITUTE,POWDERED')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0005373455131649651
ground_truth_size_1,29,"[('containsIngredient', 'BREADFRUIT,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,5.831583858175881e-05
ground_truth_size_1,30,"[('containsIngredient', 'PORK,CURED,BACON,CKD,MICROWAVED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.3105988125974758e-05
ground_truth_size_1,31,"[('containsIngredient', 'Cress')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.583587170757929e-05
ground_truth_size_1,32,"[('containsIngredient', 'SWEET ROLLS,CINN,REFR DOUGH W/FRSTNG,BKD')]",2,0.0,0.0,1.0,0.0,0.0,0.1,0.1111111111111111
ground_truth_size_1,33,"[('containsIngredient', 'CAKE,WHITE,PREP FROM RECIPE W/COCNT FRSTNG')]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,34,"[('containsIngredient', 'BAKING CHOC,MEXICAN,SQUARES')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.4747558983981374e-05
ground_truth_size_1,35,"[('containsIngredient', 'SALMON,ATLANTIC,FARMED,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00039308176100628933
ground_truth_size_1,36,"[('containsIngredient', 'ALCOHOLIC BEV,DAIQUIRI,CND')]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.475737769855417e-05
ground_truth_size_1,37,"[('containsIngredient', 'Sardines grilled')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0021929824561403508
ground_truth_size_1,38,"[('containsIngredient', 'HAZELNUTS OR FILBERTS,BLANCHED')]",1,0.0,0.0,1.0,0.0,0.0,0.1,0.1111111111111111
ground_truth_size_1,39,"[('containsIngredient', 'SNACKS,PITA CHIPS,SALTED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.7378006395106353e-05
ground_truth_size_1,40,"[('containsIngredient', 'BARBECUE LOAF,PORK,BEEF')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421
ground_truth_size_1,41,"[('containsIngredient', 'SILK STRAWBERRY SOY YOGURT')]",1,0.0,0.0,0.0,0.0,0.0,0.0,8.203445447087777e-05
ground_truth_size_1,42,"[('containsIngredient', 'Grapes, muscadine, raw')]",2,0.0,0.0,1.0,0.0,0.0,0.1,0.125
ground_truth_size_1,43,"[('containsIngredient', 'BREAD STICKS,PLAIN')]",2,0.0,0.0,0.0,0.0,0.0,0.0,7.195797654169965e-05
ground_truth_size_1,44,"[('containsIngredient', 'PUDDINGS,CHOC,RTE,FAT FREE')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464
ground_truth_size_1,45,"[('containsIngredient', 'MALT BEV,INCL NON-ALCOHOLIC BEER')]",2,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,46,"[('containsIngredient', 'BUCKWHEAT')]",2,0.0,0.0,0.0,0.0,0.0,0.0,9.079353550027238e-05
